title,body,rating
" Average, Formulaic with some poor plot points
","So the aunt was developing weapons. The daughter did not like that but wasn't the one running the company. Her dad designed those weapons and built his own, which she used. It didn't make sense. Besides, there is nothing wrong with building enhanced suits for soldiers, that will save lives, when your being invaded by alien armies every few years!<br><br>The room with the alien tech in it, didn't have anyone guarding it. She pickpockets a pass and walks in, then walks out. Walking past the entrance to another corridor that did have a guard next to it. What was in that corridor that it warranted a guard? And this one with the advanced weapon in it did not? Then the scientist she stole the pass from, walks back into the room without his pass?<br><br>The building it put in lockdown, but the boy just walks out. So much for lock down.<br><br>The beetle suit (and OMAC) is never explained. It can seemingly do anything but how? Where do the bullets come from? How are they replenished? How is it charged?<br><br>When they drain the suit for the code, they tell us repeatedly it will kill him. They drain the code, but he lives. So what a waste of time. A plot point that went nowhere.<br><br>Blue Beetle doesn't want to kill. But the Uncle is willing to stab people with the bug mobile legs. Grandma machine guns down security guards just doing their job.<br><br>The Uncle builds a localised signal jammer, and the building he uses it on with high-tech weapons inside doesn't hit the alarm when all their feeds go dead. Besides the fact that there was zero guards in the main lobby, and the blue beetle tech is in a display cabinet which can be picked with a paperclip?<br><br>The uncle can pilot the bug mobile having never seen it before, just because he drives a truck. He knows where all the buttons are and how to do tight manoeuvres .",3
" Disappointing
","Everyone knows this is yet another dud by dc by now. But after hearing some positive buzz i thought i'd give it a chance. But nope. Its just another superhero movie.<br><br>What it really is is just Ironman meets Spiderman. No one really cares about this character so they would have had to do something special to make the movie great. But they haven't. Cobra Kai's Xolo Maridueña is likeable enough as the hero. But everyone in this (except Susan Sarandon) is the hero. Either that or they're an annoying ""comedy"" sidekick.<br><br>At least the action starts overshadowing the lame jokes at the half way mark. As before that its just the character getting thrown around as he discovers his powers. But even later its just robots fighting. This is something we've seen a hundred times at this point. But at least the hero doesn't fight Susan Sarandon in the finale.<br><br>So i guess it could have been worse. Its not completely awful. There's just too many superheros now to care about this familiar feeling one.",4
" Boring. Generic. Unimaginative. Rubbish Robocop.
","I understand this film was made for US Hispanic folk. And it is specifically adapted for that market. But it is an English language film. It is a DC film. You'd expect it to be accessible for all. You'd expect it to be good? It's not. The original Blade movies were a good example of a minority lead, but, accessible to all.<br><br>It's not a kick in the shirt tail away from being a toddler's film. It's very simple minded. If you're over 8 years old you may find yourself bored. It's poorly put together and the acting is terrible. I mean, bad.<br><br>It's just really unimaginative &amp; simplistic.<br><br>There's not much more to say. When I say accessible, I mean to the majority. Basic working class folk who care about food on the table &amp; a roof over their heads. Give them something good. Something to escape into. Something relatable. But don't be condescending.",3
" Is this what we can expect from the new DCU?
","<ul><li>Interrupted kiss because someone arrives. CHECK</li><li>Villain saying at the beginning ""your family makes you weak."" CHECK</li><li>Woman tripping and that's why she gets caught. CHECK</li><li>Multi-million facilities where it's easier to steal something than in a Starbucks. CHECK</li><li>Poor family, but with the perfect skills for the mission. CHECK</li><li>Chase ends because the protagonist turns right into a corridor and the villains don't even turn their heads, continuing to run straight ahead. CHECK</li><li>""Not so bad"" scientist who sacrifices himself for the hero. CHECK</li><li>Hero saying ""my family is what makes me strong"" at the end. CHECK.</li></ul>",2
" Shellacing...
","It's sad, not unexpected, to say that it's a chore, as you've seen the story told here a thousand times before, no surprises or things new, this will really make you blue, all in all more than two hours, that will bore you through and through. The CGI is not that good, and it will not make you marvel, plus the story is predictable, and I might suggest - quite larval, the acting's amateur, so is the dialogue and score, it's a challenge after watching to applaud and not ignore.<br><br>If we're really unlucky they'll make another one that will take us to places increasingly common in the world of Superhero desperation.",4
" Operation Cloneland
","What you get are some okay action sequences and okay special effects. That's more or less the core of Blue Beetle. The story is one straight out of generic-not-so-wonderland, lacking any creativity and any juice (in my opinion, simply embedding a pretty standard story in another cultural context is not the work of a creative titan). At most, this flick will engage three or four of your brain cells. Moreover, most of the fun and comedy elements don't work too well either. These days, writers, directors, and producers seem to think that they can get away with anything because of the work of the special effects department - good storytelling seems an art mostly lost these days. Blue Beetle tastes like one of those chewing gums that have long lost all flavor. Unfortunately, there is no power of cheese to save this one with some decent high-octane schlock. My exact rate: 3.5.",3
" Childish as Teletubbies meets Henry Danger
","This is the worst thing I have ever seen. I'm not into the cancellation system kids have nowadays when there is prejudice or when it just looks like there is prejudice at stake but I think who wrote this doesn't mean it, maybe it was really written by a 10 year old.<br><br>The stereotypical Latino family thing that reminds me of a Fast and Furious surrogate scenario but with clowns instead of braindead glorified criminals.<br><br>I just want to regurgitate after watching this. My eight year old was bored like hell. She is way smarter that the guys who thought this was a good idea. The portrayal of the Latin community showed here isn't very serious. Off course there are happy positive resilient people in those communities but taking every stereotype and put it all at once in a family and making them look like the jesters is really annoying. This wasn't a fun movie, it's forgettable, it's the same old story again, it's meek, it has no villain , it's meh...
I wish superhero's could be treated more seriously than what they are getting this days. If you looked to South Korean show ""Moving"" you could learn a thing or two but no: the american paternalistic media society will only take that show and do a remake just because in their deranged conceptions Americans can't read and a foreign language is too annoying and capable of brain damage or creating communists or democrats as they call it there(Lol). Anyway, having a Batman (after Nolan) isn't enough. DC is way more childish and the CGI is always the worst but Marvel movies ,although better like their comics always were, are getting seriously damaged by the idea every hero needs to be Deadpool or Spider-Man copycats.<br><br>Once again ,DC has shot itself in the foot, wait...it blew both feet with a single shot.",1
" Ok Performances But A Predictable And Unoriginal Story And Also Boring Action And Uninteresting Villain
","I found Blue Beetle as the most basic teenage superhero origins story that are no longer special, and it leaves me no impress whatsoever because we all already way too familiar with this type of story, it's predictable and literally nothing new, it's bland and the action was boring, my face was literally straight the whole time, and the villain was also meh, what i like about Blue Beetle was the family dynamic that's definitely there, and the family itself as their own was good enough, Bruna Markuezine was good, including Xolo Maridueña himself was good and just if his story wasn't the same like most of teenage superhero origins story, Blue Beetle would've been something else because what i do like again was some of the cinematography, editing, the Blue Beetle suit was amazing and i really love it, and the special effects for the most part was good, but again overall i just can't found something new in terms of story, and it would've been just an ok movie but it's too bad that the action was boring and the comedy also didn't work, the villain wasn't that good, so it is what it is unfortunately, Blue Beetle is not a bad movie, it's a basic teenage superhero origins that fills with ok performances but a predictable and unoriginal story and also boring action and uninteresting villain.",5
" A real flop.
","College Graduate Jaime Reyes is chosen by a powerful Alien scarab beetle to be its host, bestowing him some amazing powers.<br><br>I honestly started to question whether or not superhero films were no longer something of appeal to me, but I see from several reviews, that some people have a few similar problems thay I had, it felt like a Spiderman knock off, a not too successful one.<br><br>I'm actually surprised that it was given a theatrical release, it seems more like one of those films that would silently make it's way onto a streaming platform, then just vanish into obscurity.<br><br>I had no issues with the acting, Xolo Maridueña was pretty good, and it was great to see Susan Sarandon.<br><br>The story was the major problem, we've seen it all before, it's a formula that's simply been done to death, and so much better, it offered nothing original.<br><br>As a character, they might as well have done Wind Man or Giraffe girl, they'd have been so much more interesting.<br><br>4/10.",4
" Played of BS stereotypes, very predictable
","Where to start. There will be spoilers, but to be honest, a five year old would come up with a better plot.<br><br>Sooooo, we will start with the stereotypical Mexico family. Loud, brash, loving, silly, dark, fun and illegal of cause. Don't forget the crazy uncle with the mullet.<br><br>The American dream proves to be false again, son with a law degree is ignored by society, as only happens in America (sorry guys, it's true).<br><br>The plot line is boring, underprivileged knight in shining armor trys to save rich girl, magic alien tech the makes no sense at all attaches too him and the stupidest series of events ensure.<br><br>Fast and furious crap comes to play, all about the family, it makes me stronger. Nice thoughts, F&amp;F does it better, Shazam did it as well.<br><br>The villain is played terribly, totally un-relatable and badly cast. A quality actresses in her own right, but not a role for her.<br><br>In the end the good comes to terms with his new powers, villain gets killed, the family is saved and rich girl rebuilds the poor Mexican family home that got destroyed by villain, but they stay in poverty because...... everyone stay in their place right????<br><br>A waste of time watching it. Recently the script writers were on strike. If this crap they come up with, maybe they should learn to pack shelves and make burgers.",1
